"chain","deadend","generation","reproduction","story_text","story_title"
"S6FiYqgxmuEkQ4vY","false",4,"In december 2017 a couple from Iowa noticed their beehives were
flipped over. Half a milion bees died and the damage was 60000
Dollar. Two boys (12 and 13) were at fault. They were arrested.
They got another punishment and had to pay for the damage and
went to prison even though they were minors.","In December 2017, a couple from Iowa discovered that their beehives were flipped over. Half a million bees died and there was a damage of 60,000 dollars. Two boys (12 and 13 years old) were arrested, got
another punishment and had to repay the damage and were sentenced to 5 years of prison even though they were minor.","bees"
"d7ypmz7Ji8WiEFxr","false",5,"on the 14th of January 2017 a 66-year old woen flew from Cicago
to Newyork without paying for her ticket. She tried to book a
ticket to Conetticut. Getting caught a second time the police
sent her home to Chicago by plane without paying for her ticket.","On 14 January 2018, a 66-year old woman flew from Chicago to New York without a ticket. She then tried to book a ticket to Connecticut, but after having been caught the second time, police arrested her
and send her to a flight back to Chicago, without paying for her ticket.","flight"
"LKc62sb71oswZ6x4","false",2,"Two men from Egulac heard war cries and and went to a river where
they met 5 other men in a canoe. They were asked to join them
to fight. While one man rejected the offer and stayed, the other
man went with the other people in the canoe to the fight scene.
There they fought with Indians and many people were killed on
both sides. After the fight another man said that the Indians
were shot and then they went back. When the man arrived back at
home he reported that he fought with ghost people because he hadn't
noticed anything and didn't feel sick. At the sunrise he broke
down, something black came out of his mouth and he died.","One night two men from Egulac went down to the river to hunt seals. When they were there it became foggy and calm. They heard war-cries and thought this must be a war-party. They went to the shore and hit
behind a log when a canoe with 5 people arrived. The people said ""We are going down the river to make war on the people there. Do you want to come with us?""\n""I don't have arrows"" one of the two men said.
""Arrows are in the canoe"" said one of the canoe people. ""I won't come along with you. I'm alone here and if I go with you and something happens to me, my relatives won't know where I have gone. But you
could go with them"", he said to the other man. So one of the two men stayed behind and went home, while the other went with the men in the canoe down the river behind Kalama. The people there came down
to the water to fight and many were killed. The man heard one of the other men say ""The Indian has been shot, let's go"". He hadn't noticed anything and didn't feel sick, so he thought ""These people must
be ghosts"". They went back to Egulac and there, the man went ashore and back home to make a fire. And he told everybody that he went down the river with the ghostpeople and had fought and many fellows as
well as the people there had been killed. As the sun rose, the man fell forward, something black came out of his mouth and people cried. He was dead.","bartlett"
"Ap545tdVh7Xo0qlh","false",6,"A family lost there beehives. The loss were about 60000 $. Because
they were minor, they didn't go to prison.","In December 2017 a family lost their beehives. The loss was 60000$. The crime had been committed by two boys who were minor which is why they could not go to prison.","bees"
"Dz4Jslvvz2fvIdTk","false",5,"An old woman wants to take a flight but doesn't get permission
because she misses a ticket and documents. After one night staying
at the airport she takes the flight to London. When she came back
to the US in January, she is accused of two crimes.","An old woman is trying to take a flight but she is not permitted as she doesn't have documents and a ticket. She stays at the airport for one night and the next day from a different terminal she takes off
for London. In January, she back to the US and is charged for two crimes.","flight"
"rmWM7yMYXBbASNFR","false",6,"The young one died, they left the young the old one (whatever
that may mean...).","The young one died, they left the young the old one\n(whatever this means..)","bees"
"fP2DmesttnuSMqyf","false",5,"Young men sit by the river. They hear sounds which they think
might be war cries. They meet men in a canoe. The men ask them
whether they want to join them in the canoe. One of them says
he can not, because his family wouldn't know where he was. The
other joins the men in the canoe. They then fight other people.
Many of both parties die. Someone says the Indian might have died.
The man returns home and at a fire tells his friend about his
adventure. Black liquid comes out of his mouth and he dies.","There are young men sitting by the river. They here sounds, that they think might be war cries. They meet men in a canoe. The man ask them if they want to join them. One can not. ""I can not go because my
family will not know where I am."" The other one joins the men in the canoe. They fight other people. A lot of the others die, and a lot of their people die. One man says that the Indian has been injured.
The man goes home. At a fire he tells his friends about his adventure. Black liquid comes out of his mouth and he dies.","bartlett"
"d7ypmz7Ji8WiEFxr","false",4,"On 14 January 2018, a 66-year old woman flew from Chicago to New
York without a ticket. She then tried to book a ticket to Connecticut,
but after having been caught the second time, police arrested
her and send her to a flight back to Chicago, without paying for
her ticket.","On January 14 2018, a 66-year old woman flew from Chicago to New York without a ticket. She tried to book a flight to Connecticut, but after being caught the second time, police officers arrested her and
put her on a shuttle to take her to a flight back to Chicago without paying for her ticket.","flight"
"S6FiYqgxmuEkQ4vY","false",3,"In December 2017, a couple from Iowa discovered that their beehives
were flipped over. Half a million bees died and there was a damage
of 60,000 dollars. Two boys (12 and 13 years old) were arrested,
got another punishment and had to repay the damage and were sentenced
to 5 years of prison even though they were minor.","In December 2017 a couple from Iowa discovered that their beehives were flipped over. Half a million bees died and there was a damage of 60,000 Dollars. Three weeks later two boys (12 and 13 years) were
arrested and charged to repay the damage, got another punishment and were sentenced to 10 years of prison even though they were minor.","bees"
"d7ypmz7Ji8WiEFxr","false",3,"On January 14 2018, a 66-year old woman flew from Chicago to New
York without a ticket. She tried to book a flight to Connecticut,
but after being caught the second time, police officers arrested
her and put her on a shuttle to take her to a flight back to Chicago
without paying for her ticket.","On January 14, 2018 a 66 year old women flew from Chicago to New York without a ticket. She tried to board a flight to Conncecticut, but after being stopped the second time police officers arrested her
and put her in to a shuttle, which brought her to a flight back to Chicago without a ticket.","flight"
"LKc62sb71oswZ6x4","false",1,"One night two men from Egulac went down to the river to hunt seals.
When they were there it became foggy and calm. They heard war-cries
and thought this must be a war-party. They went to the shore and
hit behind a log when a canoe with 5 people arrived. The people
said ""We are going down the river to make war on the people there.
Do you want to come with us?""\n""I don't have arrows"" one of the
two men said. ""Arrows are in the canoe"" said one of the canoe
people. ""I won't come along with you. I'm alone here and if I
go with you and something happens to me, my relatives won't know
where I have gone. But you could go with them"", he said to the
other man. So one of the two men stayed behind and went home,
while the other went with the men in the canoe down the river
behind Kalama. The people there came down to the water to fight
and many were killed. The man heard one of the other men say ""The
Indian has been shot, let's go"". He hadn't noticed anything and
didn't feel sick, so he thought ""These people must be ghosts"".
They went back to Egulac and there, the man went ashore and back
home to make a fire. And he told everybody that he went down the
river with the ghostpeople and had fought and many fellows as
well as the people there had been killed. As the sun rose, the
man fell forward, something black came out of his mouth and people
cried. He was dead.","One night two young men from Egulac went down to the river to hunt seals, and while they were there it became foggy and calm. Then they heard war-cries, and they thought: ""Maybe this is a war-party"". They
escaped to the shore, and hid behind a log. Now canoes came up, and they heard the noise of paddles, and saw one canoe coming up to the them. There were five men in the canoe, and they said: ""What do you
think? We wish to take you along. We are going up the river to make war on the people"". One of the young men said: ""I have no arrows"". ""Arrows are in the canoe"", they said. ""I will not go along. I might
be killed. My relatives do not know where I have gone. But you"", he said, turning to the other, ""may go with them."" So one of the young men went, but the other returned home. And the warriors went on up
the river to a town on the other side of Kalama. The people came down to the water, and they began to fight, and many were killed. But presently the young man heard one of the warriors say: ""Quick, let
us go home: that Indian has been hit"". Now he thought: ""Oh, they are ghosts"". He did not feel sick, but they said he had been shot. So the canoes went back to Egulac, and the young man went ashore to his
house, and made a fire. And he told everybody and said: ""Behold I accompanied the ghosts, and we went to fight. Many of our fellows were killed, and many of those who attacked us were killed. They said
I was hit, and I did not feel sick"". He told it all, and then he became quiet. When the sun rose he fell down. Something black came out of his mouth. His face became contorted. The people jumped up and
cried. He was dead.","bartlett"
"E3xtzZeyvDyVkvah","false",4,"In 2017 beehives had been broken, suspectedly by two 13 and 14
year old boys. Half a million bees died. Up to 10 years of jail
can be a punishment for this.","In 2017 beehives had been damaged. Half a million bees had died. The beehives had been damaged and equipment had been broken. Two boys (13 and 14) are suspected of causing the damage. 10 years jail can
be expected for them.","bees"
"WNCGbv5IzRGdXBFk","true",7,"Two Indians went hunting. They met someone who told them to go
to war. Only one agreed. Then they raided a village. One got shot
and died. Something black came out of his mouth.","2 Indians went to the river to hunt seals. they saw a canoe and hid from him in the canoe. He asked them to go to the war. One agreed and the other didn't. they raided a village. One got shot but he didn't
feel anything as though he was a ghost. He died and something black came out of his mouth.","bartlett"
"tcpvOvq8OT31XFYh","false",2,"A woman took a flight from Chicago to London. She stayed in London
for one day and then wanted to take a fligth back. She hid her
face from the security cameras and was then caught and condemned
for her misdemeanor.","A 66 year old woman took a flight on january 14th from Chicago to London. She wanted to take one back but stayed in London til the next day because she had no ticket. She hid her face to be not recognized
in the security camera. When she tried to get on the plane back, she was caught and is now charged for her misdemeanor.","flight"
"WNCGbv5IzRGdXBFk","false",6,"2 Indians went to the river to hunt seals. they saw a canoe and
hid from him in the canoe. He asked them to go to the war. One
agreed and the other didn't. they raided a village. One got shot
but he didn't feel anything as though he was a ghost. He died
and something black came out of his mouth.","2 Indians went to a river to hunt seals. They saw a canoe and hid from the man inside the canoe. He went to war and asked them to come with him. One refused and the other agreed. They raided a village and
the Indian got hit. He didn't feel anything though he was a ghost. The next day he died and something black came out of his mouth.","bartlett"
"Ap545tdVh7Xo0qlh","false",5,"In December 2017 a family lost their beehives. The loss was 60000$.
The crime had been committed by two boys who were minor which
is why they could not go to prison.","in December 2017 a family lost their beehives. It was a damage of 60000$. It was found that the crime had been committed by two boys who were minors which is why they could not go to prison.","bees"
"Dz4Jslvvz2fvIdTk","false",4,"An old woman is trying to take a flight but she is not permitted
as she doesn't have documents and a ticket. She stays at the airport
for one night and the next day from a different terminal she takes
off for London. In January, she back to the US and is charged
for two crimes.","An old woman is trying to take a flight, but is not permitted as she doesn't have documents and a ticket. She stays at the airport for one night and on the next day from a different terminal she takes off
to London. In January, she arrives back at the US and is charged for two crimes.","flight"
"fP2DmesttnuSMqyf","false",4,"There are young men sitting by the river. They here sounds, that
they think might be war cries. They meet men in a canoe. The man
ask them if they want to join them. One can not. ""I can not go
because my family will not know where I am."" The other one joins
the men in the canoe. They fight other people. A lot of the others
die, and a lot of their people die. One man says that the Indian
has been injured. The man goes home. At a fire he tells his friends
about his adventure. Black liquid comes out of his mouth and he
dies.","There are young men by the river. The young men hear war sounds and think there may be a war party nearby. The young men see a canoe with some men in it who ask them to join. One cannot: ""My family will
not know where I am, so I can not go, but maybe you should go"". So one of the men goes home and the other one joins the men in the canoe. They travel on the river and when they arrive they begin to make
war. They kill lots of people and lots of their people are killed. A man says ""the Indian has been injured and might be sick"" and the young man goes back home. He sits with his friends at a fire telling
the story and black liquid comes out from his mouth by the fire and he dies.","bartlett"
"5yIoR4WJdN7mvuRH","false",6,"for stealing something from the beekeepers.","for stealing something from the bee keepers.","bees"
"TpRsYQawvOgHgCvv","false",4,"A woman who wanted to go to Kentucky went to London Heathrow because
she missed her flight. Three days later she was arrested because
of hiding her face or something.","a woman who wanted to go to Kentucky, went two London heathrow because she missed here original flight. in London she got arrested three days later for something like hiding here faces.","flight"
"tcpvOvq8OT31XFYh","false",1,"A 66 year old woman took a flight on january 14th from Chicago
to London. She wanted to take one back but stayed in London til
the next day because she had no ticket. She hid her face to be
not recognized in the security camera. When she tried to get on
the plane back, she was caught and is now charged for her misdemeanor.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"rmWM7yMYXBbASNFR","false",5,"The young one died, they left the young the old one\n(whatever
this means..)","The young one died, they left the young the old one\n","bees"
"5PvSVOdmzbtPghnM","false",6,"from fighting with one of the soldiers.\n(just writing  what i
just read..)","from fighting with one of the soldiers.","bartlett"
"S6FiYqgxmuEkQ4vY","false",2,"In December 2017 a couple from Iowa discovered that their beehives
were flipped over. Half a million bees died and there was a damage
of 60,000 Dollars. Three weeks later two boys (12 and 13 years)
were arrested and charged to repay the damage, got another punishment
and were sentenced to 10 years of prison even though they were
minor.","In late december 2017, a couple from Iowah checked on their beehives, when they discovered they had been distracted. The hives were turned over, the equipment was thrown out of the shed and something else.
Half a million bees had died and it was a material damage of 60,000 Dollars. \n3 weeks later two boys (12 and 13 years old) got arrested because they did the damage. They were accused of criminal mischief,
something with being mean to animals and some third thing. They got a money fee to pay and 10 years in prison even though they were just minors","bees"
"WNCGbv5IzRGdXBFk","false",5,"2 Indians went to a river to hunt seals. They saw a canoe and
hid from the man inside the canoe. He went to war and asked them
to come with him. One refused and the other agreed. They raided
a village and the Indian got hit. He didn't feel anything though
he was a ghost. The next day he died and something black came
out of his mouth.","2 Indians went to a river to hunt seals. They saw a canoe and tried to hide from the men in the canoe. He was on the way to a war and asked them if they want to join him. One of them refused, the other
agreed to join him. They raided a village and apparently the one Indian got hit. But he felt nothing and thought he was a ghost. The next day he died, and something black came out of his mouth.","bartlett"
"7oeff4GcFoSutDtw","false",4,"66 years old woman wants to go from Chicago to London by plane,
but she does not have a passport. On the airport she was caught
by a worker and got kicked out. She is now on trial for trespassing.","66 year old woman wants to go from Chicago to London by plane, but without a passport. She was waiting at the airport for a plane to London but was caught by a worker there and was thrown out of the airport.
She is now on trial for trespassing.","flight"
"fP2DmesttnuSMqyf","false",3,"There are young men by the river. The young men hear war sounds
and think there may be a war party nearby. The young men see a
canoe with some men in it who ask them to join. One cannot: ""My
family will not know where I am, so I can not go, but maybe you
should go"". So one of the men goes home and the other one joins
the men in the canoe. They travel on the river and when they arrive
they begin to make war. They kill lots of people and lots of their
people are killed. A man says ""the Indian has been injured and
might be sick"" and the young man goes back home. He sits with
his friends at a fire telling the story and black liquid comes
out from his mouth by the fire and he dies.","One night young men were together at the river. They heard war noise and thought there might be a war party going on. Then they saw a canoe with men in it who asked: ""Do you want to join, we will make war
onto the people?"". One answered ""I don't have arrows"", ""Arrows are inside the canoe."". The other guy replied ""I cannot come, I have relatives at home. They wouldn't know where I've gone but you might go
with them."" So one of them went home but the other guy joined them. When they arrived the war happened and they killed a lot of the people there and a lot of their people got killed. Suddenly the guy heard
the guys he fought with say. ""Quick lets leave, the Indian got hit!'. He didn't felt sick, but the others left. He went back to his home and thought hey must have been accompanied by ghosts. In the night
he sat together with his friends and told them his story. When finished the sun rose and he fell and some black fluid came out of his mouth. He was dead.","bartlett"
"HjqEefhI3OPExmBj","false",2,"On January 15, 2018 a woman (66 years old) flew from Chicago to
London without a ticket or a passport. She first entered Chicago
O'Hare Airport on January 14. She hid her face with her hair as
she passed two Transportation Security Administration officers
who were busy checking the luggage of other passengers. She then
attempted to board a plane to Connecticut but failed. When she
tried to pass the gate she was stopped and told to sit back down.
She stayed overnight in the airport and the next day boarded a
flight to Heathrow Airport (London). She was detained by customs
and security patrol at the airport after her plane landed and
was not allowed to enter. She was then ordered to fly back to
Chicago. She was charged with misdemeanor and trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"E3xtzZeyvDyVkvah","false",3,"In 2017 beehives had been damaged. Half a million bees had died.
The beehives had been damaged and equipment had been broken. Two
boys (13 and 14) are suspected of causing the damage. 10 years
jail can be expected for them.","In 2017 beehives had been damaged. Half a million bees had died. The hives had a damage and equipment had been broken.\nTwo boys had been arrested (12 and 13 years old). 10 years in prison can be expected
for them.","bees"
"7oeff4GcFoSutDtw","false",3,"66 year old woman wants to go from Chicago to London by plane,
but without a passport. She was waiting at the airport for a plane
to London but was caught by a worker there and was thrown out
of the airport. She is now on trial for trespassing.","A 66 year old women wanted to get from Chicago to London by plane without a passport. She waited at the airport for a plane to London until one night, but she was caught by a worker. She was returned to
America and now faces the charges of trespassing.","flight"
"UVR5azYWUdQIdNjI","true",7,"December 2017, 60 000 beeheves, 20 to 100 thousand dollars, 10
to 12 years old","December 2017, 60 beheeves, 20 to 100 thousand dollars, 10 to 12 years old","bees"
"zQGf02eze637koxI","true",7,"Two men in a canoe were asked to join the war. One of them joined
the war, the other went home. The man who joined the war died
there and black stuff came out of his mouth.","Two men in a canoe were asked to join the war. One man joined the war but the other man went home. The man who joined the war was killed during the war and black stuff came out off his mouth.","bartlett"
"WNCGbv5IzRGdXBFk","false",4,"2 Indians went to a river to hunt seals. They saw a canoe and
tried to hide from the men in the canoe. He was on the way to
a war and asked them if they want to join him. One of them refused,
the other agreed to join him. They raided a village and apparently
the one Indian got hit. But he felt nothing and thought he was
a ghost. The next day he died, and something black came out of
his mouth.","2 Indians went to a river to hunt seals. They saw a canoe and tried to hide from the man in the canoe, but he saw them. He was on his way to war and asked them whether they'd like to join him. One Indian
refused, the other agreed to go with him. They raided a village and the Indian man was apparently hit. He did not feel anything, he thought he was a ghost. The next morning the Indian man was dead, with
something black coming out of his mouth.","bartlett"
"CmCWT6nZKQ4BPSq7","true",7,"A couple of 50 bee hives. 2 children, 12 and 13, destroyed them.
They will now go to prison","A couple has 50 bee hives. Two children, 12 and 13, destroyed them. They will now get to prison.","bees"
"fiZNFsVLCbzaW3Zk","false",3,"A woman was caught trying to board a flight without paying.","A woman was caught trying to board a flight without paying.","flight"
"vgYYyzuyiXrkQL8P","false",4,"not having a passport or a ticket.","On January 15th 2018, a woman tried to get on a plane from Chicago to London. She didn't had a passport nor a ticket. She tried to hide her face with her hair but she was caught by some police officers.
She could escape during the night and take a shuttle bus to London. She is now accused of","flight"
"5PvSVOdmzbtPghnM","false",5,"from fighting with one of the soldiers.","Two men from edugak walked near a river, when they met 5 soldiers. The soldiers persuaded one of the two to fight with them. Many people were killed but the man from esugak came back I uninjured. He reported
feeling well but also that he saw the other men as ghosts. The next day he died and something black came out of his mouth","bartlett"
"5yIoR4WJdN7mvuRH","false",5,"for stealing something from the bee keepers.","A bee keeping family reported that someone committed a crime against them, resulting in 60k$ lost. 2 year later, a 13 and 14 year old boys were accused of the action, were sent to jail and had to pay 10k$
each","bees"
"Ap545tdVh7Xo0qlh","false",4,"in December 2017 a family lost their beehives. It was a damage
of 60000$. It was found that the crime had been committed by two
boys who were minors which is why they could not go to prison.","in december 2017 a couple realized that one of their 50 beehives was destroyed and a total damage of 60000$. Besides that, half of the bees died. Later, they found out that two boy, aged 12 and 13, comitted
the crime. Because they are minor, the come had to go in prison for 9 months or pay 10000$.","bees"
"fiZNFsVLCbzaW3Zk","false",2,"A woman was caught trying to board a flight without paying.","A woman was caught trying to board a flight without paying","flight"
"WNCGbv5IzRGdXBFk","false",3,"2 Indians went to a river to hunt seals. They saw a canoe and
tried to hide from the man in the canoe, but he saw them. He was
on his way to war and asked them whether they'd like to join him.
One Indian refused, the other agreed to go with him. They raided
a village and the Indian man was apparently hit. He did not feel
anything, he thought he was a ghost. The next morning the Indian
man was dead, with something black coming out of his mouth.","2 Indians went to a river (?) to hunt seal, where they saw a canoe. They tried to hide but were noticed by the man in the canoe, who was heading to war and asked the Indians whether they would like to join
him. One of the Indians agreed, while the other refused. The Indian and the man raided a village, but the Indian man was apparently hit. The Indian man didn't feel anything and thought he had become a ghost.
The next day, the Indian man died with something black coming out of his mouth","bartlett"
"HjqEefhI3OPExmBj","false",1,"On January 15, 2018, a woman (66 years old) without a ticket and
passport slipped through airport security and took a flight from
Chicago to London. The woman entered Chicago O’Hare International
Airport on January 14. First, she hid her face with her hair and
passed two Transportation Security Administration officers who
were controlling other passenger’s boarding passes. After she
was screened, she wanted to board a flight to Connecticut but
failed. When the woman tried to sneak past the gate agent, she
was stopped and directed to sit down. She stayed overnight at
the airport and rode a shuttle bus to the international gate the
next day, even though a passport and plane ticket are required
to board the shuttle. She then entered a plane to Heathrow Airport
(London), where she was detained by British customs officials.
She arrived back in the United States on January 18. The woman
is charged with theft and misdemeanor for trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"CmCWT6nZKQ4BPSq7","false",6,"A couple has 50 bee hives. Two children, 12 and 13, destroyed
them. They will now get to prison.","A couple has 50 bee hives. Two children, 12 and 13, destroyed them. They will now get to prison.","bees"
"fP2DmesttnuSMqyf","false",2,"One night young men were together at the river. They heard war
noise and thought there might be a war party going on. Then they
saw a canoe with men in it who asked: ""Do you want to join, we
will make war onto the people?"". One answered ""I don't have arrows"",
""Arrows are inside the canoe."". The other guy replied ""I cannot
come, I have relatives at home. They wouldn't know where I've
gone but you might go with them."" So one of them went home but
the other guy joined them. When they arrived the war happened
and they killed a lot of the people there and a lot of their people
got killed. Suddenly the guy heard the guys he fought with say.
""Quick lets leave, the Indian got hit!'. He didn't felt sick,
but the others left. He went back to his home and thought hey
must have been accompanied by ghosts. In the night he sat together
with his friends and told them his story. When finished the sun
rose and he fell and some black fluid came out of his mouth. He
was dead.","One night young men were together at the river. They heard war noise and thought there might be a war party going on. Then they saw a canoe with men in it who asked: ""Do you want to join, we will make war
onto the people?"". One answered ""I don't have arrows"", ""Arrows are inside the canoe."". The other guy replied ""I cannot come, I have relatives at home. They wouldn't know where I've gone but you might go
with them."" So one of them went home but the other guy joined them. When they arrived the war happened and they killed a lot of the people there and a lot of their people got killed. Suddenly the guy heard
the guys he fought with say. ""Quick lets leave, the Indian got hit!'. He didn't felt sick, but the others left.\nHe went back to his home and thought hey must have been accompanied by ghosts.\nIn the night
he sat together with his friends and told them his story. When finished the sun rose and he fell and some black fluid came out of his mouth. He was dead.","bartlett"
