"chain","deadend","generation","reproduction","story_text","story_title"
"rUOu8WW7nXMvUN9J","false",2,"Two young kids killed about a million bees by hacking up beehives.
They caused about 60,000 dollars in damage, as minors they are
libel to face ten years in detention.","A 12 and 13 year old caused $60,000 in damages and killed over 1 million bees.  They hacked apart the hives and destroyed equipment.  They are juveniles so can be given 10 years in detention and $10,000
in fines.","bees"
"UgRcXH3mpSF6dbec","false",2,"An Elderly female was caught by British officials for being a
stow away on an flight from the United States. She had been charged
with a misdemeanour for this offense. this elderly lady apparently
was able to get through U.S. Security and board the flight.","A late age woman was charged with theft and misdemeanor for boarding a plane that happened to be traveling internationally. The plane she boarded went from Chicago International airport to an airport located
in London. The late age woman initially tried to board a plane that was traveling to Connecticut but failed. The following day, she was able to sneak past security and ultimately she was able to board the
flight to London. After arriving in London, she was caught by British officials and was sent back to the United States to receive her charge.","flight"
"Qj157WvcAL1v8DB6","true",4,"Two boys, aged under 13 years old, destroyed bee hives worth $60,000.
They were charged as minors and sentenced to 10 years and $10,000.","Two boys, one 13 and the other 12, destroyed two beehives worth 60,000 dollars. Since they were minors, they were charged as such. They were sentenced for 10 years and 10,000 dollars","bees"
"rlq2z73RSzqP9Wy1","false",2,"A 66 year old woman was charged with theft and misdemeanor trespassing
after trying to board a flight. She was caught by authorities,
who discovered she also did not pay for a bus ticket to get there.","january 15, 2008. a grown 66 years old woman tried to get through airport security and board a flight without paying. she has been charged with theft and a misdemeanor charge for tresspassing. she had been
stopped by officials and told to wait, stayed in the airport overnight and rode a shuttle bus which apparently you need a ticket for too.","flight"
"wzMspg8IbndHBf4V","false",2,"A couple had their beehives destroyed and the police found out
who it was. It was two young boys.","A couple found out that their beehives were smashed. Most of the bees died and the police did find out who did it. It was two young boys who will serve juvy. It cost a lot of money to fix the beehives.","bees"
"GMhPreW4i7GhSYZq","false",3,"A woman who was wanted for theft made it through Chicago, and
then Connecticut. She was caught, however, upon arriving to the
Heathrow airport.","A woman wanted for theft made it through Chicago, and then Connecticut. But she was caught upon arrival at Heathrow airport and sent back.","flight"
"0YL4AEdPYZuwh2xM","false",3,"It seems to me like there are two guilty people.","It seems to me like there are two guilty people.","bees"
"kTmlBhYK0gWCa9W8","false",3,"A woman was trying to avoid cameras as best she can.  She was
eventually able to get on the airport.","A woman was trying to avoid cameras the best that she can. Eventually, she was able to get on the airport.","flight"
"UgRcXH3mpSF6dbec","false",1,"A late age woman was charged with theft and misdemeanor for boarding
a plane that happened to be traveling internationally. The plane
she boarded went from Chicago International airport to an airport
located in London. The late age woman initially tried to board
a plane that was traveling to Connecticut but failed. The following
day, she was able to sneak past security and ultimately she was
able to board the flight to London. After arriving in London,
she was caught by British officials and was sent back to the United
States to receive her charge.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"qFi8UB91J1x6ye6D","false",3,"Two young boys were found to have damaged a couple's beehive that
amounted to 60,000 in damages. The boys were captured by authorities
and are now facing up to 10 days in jail.","Two young boys damaged a couples beehive causing damages amounting to 60,000 dollars. They were remanded and taken into custody where they could be in jail for up to 10 days.","bees"
"Qj157WvcAL1v8DB6","true",3,"A 12 and 13 year old boy destroyed a beehive which was valued
around 60,000 dollars.  They could be charged as minors which
means they could get a sentence of up to 10 years in prison and
possibly a 10,000 dollar fine.","A 12 and 13 year old boy destroyed a couples beehives, which were worth around 60,000 dollars. The kids will be charged as minors, and they can each face up to 10 years, along with 10,000 dollars in fines.","bees"
"SV5j5nuvR8eKGnyP","false",2,"A woman who was 66 years old snuck onto a plain going from Chicago
to London.  She didn't have a ticket or passport or any other
of the required forms.  She didn't get detained until after the
tried to board another plain.  She is going to be charged with
trespassing.","A 66 year old woman without a ticket or a passport snuck onto a flight from chicago to london. She wasn't detained until she reached london and tried to take another flight. She is charged with theft and
trespassing.","flight"
"nN2xGsKQcAqEYkJk","false",1,"In December 2017, an Iowa couple discovered their 50 beehives
were destroyed and their equipment had been smashed. This resulted
in the loss of half a million bees and $60,000 in damages. Three
weeks later, two boys, ages 12 and 13, were arrested and charged
with criminal mischief, offenses to agricultural facility, and
burglary. They face up to 10 years in prison and monetary fines
if convicted in juvenile court.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"PC2Qw92QKwiNkFxu","false",1,"In January 2018, a 66 year old woman managed to slip through airport
security and boarded a flight from Chicago to London. She had
entered O'Hare airport the previous day and obscured her face
using her hair, allowing her to bypass TSA officers who were controlling
other passengers. She then passed screening and attempted to board
a flight destined for Connecticut, but failed. The woman stayed
overnight at the airport and then took a shuttle to the international
gate the next day, where she took the flight to London. She was
stopped by British customs officials and sent back to the U.S.
by January 18. She has been charged with theft and trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"7l63yYbI8fMsXlQ6","true",2,"A woman sneaked into the Chicago O'Haire airport. Upon arriving,
she sneaked on a plane heading towards London. Once arriving at
her destination, customs agents immediately detained her.","A women snuck into Chicago O' Haire and tried to board a flight to Connecticut but was unsuccessful the next day she took the shuttle to the international gate and snuck onto a plane going to London. Once
in London the customs caught her and sent her back to the states. She was charged with trespassing.","flight"
"Qj157WvcAL1v8DB6","false",3,"Two boys, one 13 and the other 12, destroyed two beehives worth
60,000 dollars. Since they were minors, they were charged as such.
They were sentenced for 10 years and 10,000 dollars","A 12 and 13 year old boy destroyed a couples beehives, which were worth around 60,000 dollars. The kids will be charged as minors, and they can each face up to 10 years, along with 10,000 dollars in fines.","bees"
"GMhPreW4i7GhSYZq","false",2,"A woman wanted for theft made it through Chicago, and then Connecticut.
But she was caught upon arrival at Heathrow airport and sent back.","A woman 66 who was wanted for theft made it through chicago airport and then on to conneticut. Then she went to Heathrow in londow where she was caught and sent back.","flight"
"qFi8UB91J1x6ye6D","false",2,"Two young boys damaged a couples beehive causing damages amounting
to 60,000 dollars. They were remanded and taken into custody where
they could be in jail for up to 10 days.","Two young boys damaged and ruined a couples bee hive causing 60,000 thousand in damage and will be going to juvenile court where they face up to ten years and have to pay 100,000","bees"
"0YL4AEdPYZuwh2xM","false",2,"It seems to me like there are two guilty people.","These two people seem guilty to me.","bees"
"7l63yYbI8fMsXlQ6","false",2,"A women kept trying to sneak onto flights. She started with Chicago
but got caught trying to board. Next she made it to London but
was caught there and sent back and charged.","A women snuck into Chicago O' Haire and tried to board a flight to Connecticut but was unsuccessful the next day she took the shuttle to the international gate and snuck onto a plane going to London. Once
in London the customs caught her and sent her back to the states. She was charged with trespassing.","flight"
"TjYyPoG65NOrzoN6","false",1,"Some young kids - 12 and 13 years old - who were unsupervised,
caused a lot of damage to a honey-production operation. The kids
thought they were just being mischievous, but they actually destroyed
$60,000 worth of property and killed half a million bees, and
this in a time when the nation's honey bees are disappearing.
The kids were caught and arrested. They face up to 10 years in
prison and will probably have to pay up to $10,000 in fines.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"3xhQpovmeZ0DXJsj","false",1,"An elderly woman who either purposely sneaked past airport security
or else is suffering from dementia and simply walked into the
situation, boarded a plane unobserved. When the plane landed,
the woman tried to get onto another plane, but was denied. She
then figured out a way to get onto an international flight, where
she was caught and returned to the United States. She faces charges
of theft and trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"kTmlBhYK0gWCa9W8","false",2,"A woman was trying to avoid cameras the best that she can. Eventually,
she was able to get on the airport.","A woman was trying to sneak onto flights and avoiding camera's to hide her identity.  She was initially thwarted but did manage to get past security and fly to Heathrow Airport.","flight"
"wzMspg8IbndHBf4V","false",1,"A couple found out that their beehives were smashed. Most of the
bees died and the police did find out who did it. It was two young
boys who will serve juvy. It cost a lot of money to fix the beehives.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"rlq2z73RSzqP9Wy1","false",1,"january 15, 2008. a grown 66 years old woman tried to get through
airport security and board a flight without paying. she has been
charged with theft and a misdemeanor charge for tresspassing.
she had been stopped by officials and told to wait, stayed in
the airport overnight and rode a shuttle bus which apparently
you need a ticket for too.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"xB8BtiC7vYSKPD3s","false",2,"two juveniles damaged 50 beehives and caused about 60,000 dollars
in damages, now they face up to 10 years in prison.","Two juvenile boys vandalized 50 beehives causing $60,000 in damages. They face up to 10 years in prison and fines of up to $10,000 if they are convicted.","bees"
"U9AGAIBFYCYRuPb5","false",1,"A woman was able to get past security and board a plane to one
of the major airports. Fortunately at the next major airport,
she was detained and charged for her crimes.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"EHDvM3zNr5YxdAAc","false",1,"Two boys in Iowa were charged with a misdemeanor for destroying
50 beehives and emptying out a shed that cost the owners $60,000
in damage. The boys were charged as juveniles for the incident.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"inEtLKfJzFNI0vwd","false",1,"On January 15, 2018, a 66 year old woman successfully snuck onto
a flight to London at Chicago O'Hare international. She first
hid her face with her hair and got past two TSA agents who were
controlling boarding passes. She tried to board a flight to Connecticut,
but was stopped and told to sit down, and she ended up staying
in the airport overnight. The next day, the woman went to the
international terminal and managed to get on a shuttle for a flight
to London, without a passport or boarding pass. She managed to
get on the flight, and was then detained when she got to London,
and sent back to the United States.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"Qj157WvcAL1v8DB6","false",2,"A 12 and 13 year old boy destroyed a couples beehives, which were
worth around 60,000 dollars. The kids will be charged as minors,
and they can each face up to 10 years, along with 10,000 dollars
in fines.","In december 2013 two boys age 12 and 13 destroyed $60,000 worth of a couples beehives. They will be charged as juveniles and can face up to 10 years and $10,000 in fines.","bees"
"kTmlBhYK0gWCa9W8","false",1,"A woman was trying to sneak onto flights and avoiding camera's
to hide her identity.  She was initially thwarted but did manage
to get past security and fly to Heathrow Airport.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"rUOu8WW7nXMvUN9J","false",1,"A 12 and 13 year old caused $60,000 in damages and killed over
1 million bees.  They hacked apart the hives and destroyed equipment.
 They are juveniles so can be given 10 years in detention and
$10,000 in fines.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"0YL4AEdPYZuwh2xM","false",1,"These two people seem guilty to me.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"mAKhbH6NZ9Hh2qRH","false",1,"Just an old women I wouldn't worry about her.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"7l63yYbI8fMsXlQ6","false",1,"A women snuck into Chicago O' Haire and tried to board a flight
to Connecticut but was unsuccessful the next day she took the
shuttle to the international gate and snuck onto a plane going
to London. Once in London the customs caught her and sent her
back to the states. She was charged with trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"qFi8UB91J1x6ye6D","false",1,"Two young boys damaged and ruined a couples bee hive causing 60,000
thousand in damage and will be going to juvenile court where they
face up to ten years and have to pay 100,000","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"xB8BtiC7vYSKPD3s","false",1,"Two juvenile boys vandalized 50 beehives causing $60,000 in damages.
They face up to 10 years in prison and fines of up to $10,000
if they are convicted.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
"SV5j5nuvR8eKGnyP","false",1,"A 66 year old woman without a ticket or a passport snuck onto
a flight from chicago to london. She wasn't detained until she
reached london and tried to take another flight. She is charged
with theft and trespassing.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"GMhPreW4i7GhSYZq","false",1,"A woman 66 who was wanted for theft made it through chicago airport
and then on to conneticut. Then she went to Heathrow in londow
where she was caught and sent back.","On January 15, 2018, a woman (66 years old) without a ticket and passport slipped through airport security and took a flight from Chicago to London. The woman entered Chicago O’Hare International Airport
on January 14. First, she hid her face with her hair and passed two Transportation Security Administration officers who were controlling other passenger’s boarding passes. After she was screened, she wanted
to board a flight to Connecticut but failed. When the woman tried to sneak past the gate agent, she was stopped and directed to sit down. She stayed overnight at the airport and rode a shuttle bus to the
international gate the next day, even though a passport and plane ticket are required to board the shuttle. She then entered a plane to Heathrow Airport (London), where she was detained by British customs
officials. She arrived back in the United States on January 18. The woman is charged with theft and misdemeanor for trespassing.","flight"
"Qj157WvcAL1v8DB6","false",1,"In december 2013 two boys age 12 and 13 destroyed $60,000 worth
of a couples beehives. They will be charged as juveniles and can
face up to 10 years and $10,000 in fines.","In late December 2017, a couple in Iowa checked on their 50 beehives when they discovered a tragic incident. The hives had been overturned and hacked apart, the equipment had been thrown out of the shed
and smashed. This destruction caused the death of half a million bees and approximately $60,000 in property damage. Nearly three weeks later, two boys (12 and 13 years old) were arrested who are allegedly
responsible for the damage. The charges against them include criminal mischief, offenses to an agricultural animal facility, and burglary. Since they are still minors, they'll be charged in juvenile court
where they face up to 10 years in prison and fines up to $10,000 if convicted.","bees"
