"LoadT_main","LoadT_submit","age","assess","author","browser","chain","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type","id"
1157,844,21,"Yes","ЕК","Safari","LXwVeWuR7EXjVLmH","false","IteratedNarration_Main-inLab",2,1542441583909,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Khmer","Mac","Two people sent an email scam to users in Spain asking for money. They were caught.","Fri Nov 16 2018 23:52:32 GMT-0800 (PST)",1542441152550,"On August 30 2018, 30,000 internet users in Spain received an email with the subject line 'Immediate response required - copyright infringement'. In these emails, the recipients were accused of illegally distributing pornographic content and were instructed to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to an official law firm website located in Barcelona. Shortly after the emails were sent out, the law firm disowned them, calling them a hoax. So far, police officials estimate that approximately 5% of the recipients have paid the money. This sums to more than $17 million that have been paid to the scammers. Now, nearly 4 weeks later, the police have tracked down the internet cafe from which the emails were sent. After observing the cafe's camera footage, the police arrested a man and a woman (both 52) who were allegedly responsible for the scam. If found guilty, they face up to 9 years in prison. Moreover, news outlets recently acquired access to the camera footage and found that the video material is of very high quality and therefore undoubtedly reliable.","scam_jail",7.18931666666667,1,"reproduction",3
797,844,21,"Yes","ЕК","Safari","6DmLWOnDodk6HlQi","false","IteratedNarration_Main-inLab",2,1542441583909,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Khmer","Mac","A lot of cars have been vandalized by being set on fire. Police searched for the culprit. One clue they found was the sweater the culprit was wearing. They were able to catch him.","Fri Nov 16 2018 23:52:32 GMT-0800 (PST)",1542441152550,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. According to recent reports, experts believe that the existing evidence leaves no doubt about his guilt.","arson_jail",7.18931666666667,2,"reproduction",3
811,844,21,"Yes","ЕК","Safari","N7hNZUqqYFnve0HK","false","IteratedNarration_Main-inLab",2,1542441583909,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Khmer","Mac","A shipment of illegal birds was found. A week later, they found the smugglers who did it.","Fri Nov 16 2018 23:52:32 GMT-0800 (PST)",1542441152550,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on several eyewitness reports, which provide a very strong case for the suspects' guilt. Moreover, the suspects' testimonies have been found to contain inconsistencies. Thus, it seems very likely that they were involved.","smuggler_jail",7.18931666666667,3,"reproduction",3
872,844,21,"Yes","ЕК","Safari","WdBIcKMSI5txdaDd","false","IteratedNarration_Main-inLab",2,1542441583909,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Khmer","Mac","A professor is suspected of sexual harassment. It has been reported by many of his graduate students and other peers. If found guilty, he would be asked to leave his position.","Fri Nov 16 2018 23:52:32 GMT-0800 (PST)",1542441152550,"A professor in the Neuroscience department at Corsen University has been accused of sexual harassment. 11 women, all of them former graduate students in the department, have come forward with stories about Prof. Jim Smith. The list of allegations against Smith includes frequently commenting on women's appearance, forcing students to have meetings with him in his private home, and hosting several hot-tub parties that included nudity, which students were present at. Witnesses also claim that it was well-known that Smith engaged in a series of quid pro quo sexual relationships with his female graduate students. An independent investigation by an external law firm was commissioned. If found guilty of sexual harassment, Smith may be suspended for an indefinite amount of time or even fired, a rarity for tenured professors. The report by the official investigation is based on testimony about his character by over 100 of his current and former students, and indicates that Smith clearly showed a pattern of predatory behavior.","professor_jail",7.18931666666667,4,"reproduction",3
765,844,21,"Yes","ЕК","Safari","6JSiHFVPvEdQ8DSZ","false","IteratedNarration_Main-inLab",2,1542441583909,1,"IteratedNarration_Main-inLab","No","Male",1,"English, Khmer","Mac","Two boys smashed a beekeepers bee hive. About half a million bees died. Since they are minors they will be taken to juvenile court.","Fri Nov 16 2018 23:52:32 GMT-0800 (PST)",1542441152550,"In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The hives had been overturned and hacked apart, and the equipment had been thrown out of the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, police arrested two boys (12 and 13 years old) who, allegedly, were responsible for the damage. The charges against them include criminal mischief, burglary, and offenses to an agricultural animal facility. Since they are still minors, they will be charged in juvenile court where they face up to 10 years in prison and fines of up to $10,000 if convicted. Police officials explained that the investigation is still in progress, but the evidence so far overwhelmingly speaks to the guilt of the suspects.","bees_jail",7.18931666666667,5,"reproduction",3
1026,610,20,"Yes","ЕК","Safari","9E4pUgvvl3tImOlQ","false","IteratedNarration_Main-inLab",2,1542483935996,0,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","Since mid-April 2018, a region of Bulgaria, Germany has experienced acts of vandalism perpetrated by one or more people. The perpetrators have set a car, trashcans, and even a town house on fire. At its peak, there were 8 acts of arson in one night. The total cost of the damages is around $450,000. However, until police offered a reward of $6000 for every tip, they were not able to find the perpetrator(s). Recently, a crumpled black shirt at one of the scenes with a distinct pattern on it help identify the perpetrator. About a week ago, police arrested him, and based on all the evidence, there is very little doubt that he is guilty.","Sat Nov 17 2018 11:19:17 GMT-0800 (PST)",1542482357863,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. According to recent reports, experts believe that the existing evidence leaves no doubt about his guilt.","arson_jail",26.3022166666667,1,"reproduction",4
620,610,20,"Yes","ЕК","Safari","81N1939JUQFeOfiX","false","IteratedNarration_Main-inLab",2,1542483935996,0,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","In late December of 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The beehives had been destroyed and the tools in their shed thrown everywhere, causing about $60,000 worth of damages. Three weeks later, police arrested two boys (12 and 13 years old) for, allegedly, committing the crime. The boys were charged with three different things. Since they were still minors, they were tried in juvenile court and face up to 10 years in prison and a $10,000 fine. However, police say that the allegations against the boys may not be enough to determine that they are guilty.","Sat Nov 17 2018 11:19:17 GMT-0800 (PST)",1542482357863,"In late December 2017, a couple in Iowa was checking on their 50 beehives when they discovered a tragic scene. The hives had been overturned and hacked apart, and the equipment had been thrown out of the shed and smashed. This destruction caused the death of about half a million bees and approximately $60,000 in property damage. Nearly three weeks later, police arrested two boys (12 and 13 years old) who, allegedly, were responsible for the damage. The charges against them include criminal mischief, burglary, and offenses to an agricultural animal facility. Since they are still minors, they will be charged in juvenile court where they face up to 10 years in prison and fines of up to $10,000 if convicted. Police officials explained that the investigation is still in progress, and the evidence so far doesn't warrant rushed conclusions about the guilt of the suspects.","bees_free",26.3022166666667,2,"reproduction",4
879,610,20,"Yes","ЕК","Safari","S1IGkYppkDv6XPQV","false","IteratedNarration_Main-inLab",2,1542483935996,0,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","On August 20, 2018, 30,000 internet users in Spain received an email with a subject line that said ""immediate response required - copyright infringement."" The email said that the recipients were guilty of illegally distributing pornography, and demanded that they pay a fine of $11,500. When the email address that the message came from is searched, it belongs to a reputable law firm. However, shortly after the messages were sent, the law firm disowned them and said that they were a hoax. But, about 7% of recipients had already payed the money, resulting in about $17 million to the scammers. Four weeks later, police discovered the internet cafe from which the emails were sent and arrested two people, a man and a women (both 52) based on security camera footage. If guilty, they face up to 9 years in prison. However, recent news coverage shows that the video footage is poor quality, and may not be sufficient to determine if the two suspects are responsible.","Sat Nov 17 2018 11:19:17 GMT-0800 (PST)",1542482357863,"On August 30 2018, 30,000 internet users in Spain received an email with the subject line 'Immediate response required - copyright infringement'. In these emails, the recipients were accused of illegally distributing pornographic content and were instructed to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to an official law firm website located in Barcelona. Shortly after the emails were sent out, the law firm disowned them, calling them a hoax. So far, police officials estimate that approximately 5% of the recipients have paid the money. This sums to more than $17 million that have been paid to the scammers. Now, nearly 4 weeks later, the police have tracked down the internet cafe from which the emails were sent. After observing the cafe's camera footage, the police arrested a man and a woman (both 52) who were allegedly responsible for the scam. If found guilty, they face up to 9 years in prison. However, news outlets recently acquired access to the camera footage and found that the video material is of very poor quality and therefore potentially unreliable.","scam_free",26.3022166666667,3,"reproduction",4
1091,610,20,"Yes","ЕК","Safari","yigh7rXcJyUtupyp","false","IteratedNarration_Main-inLab",2,1542483935996,0,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","A professor in the Neuroscience department at Corsen University has been arrested for sexual harassment. 11 women, all former graduate students, have come forward with allegations against Prof. Jim Smith. He faces charges of making inappropriate comments on women's appearances, making students come to his private home for meetings, and hosting several hot-tub parties that included nudity at which some of his student were present. Smith is also known to have had several quid pro quo relationships with some of his students. He has been suspended indefinitely and may even be fired, a rarity for professors with tenure. Over 100 people who know him have testified about his character.","Sat Nov 17 2018 11:19:17 GMT-0800 (PST)",1542482357863,"A professor in the Neuroscience department at Corsen University has been accused of sexual harassment. 11 women, all of them former graduate students in the department, have come forward with stories about Prof. Jim Smith. The list of allegations against Smith includes frequently commenting on women's appearance, forcing students to have meetings with him in his private home, and hosting several hot-tub parties that included nudity, which students were present at. Witnesses also claim that it was well-known that Smith engaged in a series of quid pro quo sexual relationships with his female graduate students. An independent investigation by an external law firm was commissioned. If found guilty of sexual harassment, Smith may be suspended for an indefinite amount of time or even fired, a rarity for tenured professors. The report by the official investigation is based on testimony about his character by over 100 of his current and former students, and indicates that Smith clearly showed a pattern of predatory behavior.","professor_jail",26.3022166666667,4,"reproduction",4
902,610,20,"Yes","ЕК","Safari","dFldvCr6UePGCwtX","false","IteratedNarration_Main-inLab",2,1542483935996,0,"IteratedNarration_Main-inLab","No","Female",1,"English","Mac","Thanks to a routine cargo check, Indonesian police were able to prevent a recent smuggling attempt. They discovered 150 exotic birds stuffed into a pipe sealed by wire at each end. The shipment had an estimated total worth of $250,000. Four men were arrested for purportedly committing the crime. If found guilty, they face up to 7 years in prison and an $8,000 fine. However, all of the men appear to have an alibi, and it is unlikely that they committed the crime.","Sat Nov 17 2018 11:19:17 GMT-0800 (PST)",1542482357863,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on an anonymous tip, which provides a very weak case for the suspects' guilt. Moreover, all four suspects appear to have plausible alibis. Thus, it seems very unlikely that they were involved.","smuggler_free",26.3022166666667,5,"reproduction",4
953,546,20,"Yes","ЕК","Chrome","hJbcD52LEi56TIAb","false","IteratedNarration_Main-inLab",2,1542567345110,1,"IteratedNarration_Main-inLab","No","Female",1,"English, Chinese","Mac","During a routine check, exotic birds were found in a cargo vessel to be smuggled into the US. Police suspect it was a wildlife trafficking ring. There are four suspects but since it was an anonymous tip that led to the discovery and the four suspects have alibis, it could be unlikely that they are involved.","Sun Nov 18 2018 10:45:57 GMT-0800 (Pacific Standard Time)",1542566757857,"Thanks to a routine cargo vessel check, the Indonesian police were able to prevent a smuggling attempt. They found about 150 exotic birds stuffed into plastic drain pipes that were sealed at each end by a wire. The animals were meant to be transported to the US, where they were to be sold as pets. Officials assume that the operation was planned and executed by a wildlife trafficking ring. This delivery would have been worth approximately $250,000. Nearly one week after discovering the illegally captured birds, the police arrested four men who purportedly attempted to commit the smuggling. The suspects face up to five years in prison and a fine of up to $8000 if found guilty. The case rests on an anonymous tip, which provides a very weak case for the suspects' guilt. Moreover, all four suspects appear to have plausible alibis. Thus, it seems very unlikely that they were involved.","smuggler_free",9.78755,1,"reproduction",5
635,546,20,"Yes","ЕК","Chrome","uCxItLa6Zr5ovhp5","false","IteratedNarration_Main-inLab",2,1542567345110,1,"IteratedNarration_Main-inLab","No","Female",2,"English, Chinese","Mac","A couple in Iowa discovered that many of their beehives were destroyed. The suspects are two minors. Because they are minors, they may face less severe charges. Police have asked that the public don't jump to conclusions.","Sun Nov 18 2018 10:45:57 GMT-0800 (Pacific Standard Time)",1542566757857,"A couple in Iowa discovered that their many beehives were destroyed. After investigating the scene, the police were able to discover that the main suspects were two minors. The minors were charged with a variety of crimes. However, because the alleged suspects were minors, the police have announced that they may face less severe charges. The police have also asked that people avoid jumping to conclusions.","bees_free",9.78755,2,"reproduction",5
542,546,20,"Yes","ЕК","Chrome","Jgw75Lq3wVFrLonM","false","IteratedNarration_Main-inLab",2,1542567345110,1,"IteratedNarration_Main-inLab","No","Female",2,"English, Chinese","Mac","Some Internet users in Spain got notified saying they were breaking the law by distributing pornographic content and demanded payment. This was a scam and police tracked down two individuals at an internet cafe. There is footage that is reliable.","Sun Nov 18 2018 10:45:57 GMT-0800 (Pacific Standard Time)",1542566757857,"Some Internet users in Spain were notified that they were infringing laws by distributing pornographic content, demanding payment. However, these notifications were all part of a scam and later revealed as such. When the police investigated this issue, they were able to track down two individuals who had been at an Internet cafe. Footage of the two is deemed to be reliable.","scam_jail",9.78755,3,"reproduction",5
544,546,20,"Yes","ЕК","Chrome","DNbYHazIT6bow9A8","false","IteratedNarration_Main-inLab",2,1542567345110,1,"IteratedNarration_Main-inLab","No","Female",1,"English, Chinese","Mac","Since mid-April a series of fires have been occurring in Bavaria, Germany. There has been a lot of property damage estimating at $450,000. The peak was when 8 fires were set off in one night. Police offered a $6000 reward for every helpful tip. A black shirt with a unique design was found at one of the sites. There is a suspect but experts say it is not definitively him.","Sun Nov 18 2018 10:45:57 GMT-0800 (Pacific Standard Time)",1542566757857,"Since mid-April 2018, a region in Bavaria, Germany, has faced a series of fires set by one or more vandals that ignited trash cans, a car, and even an entire town house. At its peak, 8 different fires were started in a single night. Fortunately, nobody was hurt, but the material damages are estimated at around $450,000. The police could not make significant advances in finding the perpetrator until they publicly offered a reward of $6000 for each helpful tip. A crumpled-up black shirt found at one of the crime scenes and bearing a unique design may have been the critical clue. About a week ago, the police arrested a 37 year old suspect on charges of second-degree arson. If found guilty, he will face up to 10 years in prison. According to recent reports though, experts don't believe that the existing evidence clearly points to him.","arson_free",9.78755,4,"reproduction",5
